Function,Dimension,Average Time Taken,Kernel
Ackley,4,53.620133333333335,C
Ackley,256,102780.52993333334,C
Ackley,1024,1411231.9904,C
Rosenbrock,4,31.5727,C
Rosenbrock,256,55871.93196666667,C
Rosenbrock,1024,937610.2968666666,C
Sphere,4,28.16756666666667,C
Sphere,256,28049.122633333332,C
Sphere,1024,425413.8736,C
Ackley,4,172.01,CUDA
Ackley,256,413.17,CUDA
Ackley,1024,935.9,CUDA
Ackley,8192,30829.7,CUDA
Rosenbrock,4,156.133,CUDA
Rosenbrock,256,347.003,CUDA
Rosenbrock,1024,581.78,CUDA
Rosenbrock,8192,11980.833,CUDA
Sphere,4,175.418,CUDA
Sphere,256,314.612,CUDA
Sphere,1024,417.693,CUDA
Sphere,8192,4849.233,CUDA
