Function,Dimension,Loop,Fitness
Rosenbrock,4,0,1.821402
Rosenbrock,4,1,1.298584
Rosenbrock,4,2,0.039999
Rosenbrock,4,3,0.410451
Rosenbrock,4,4,336.843616
Rosenbrock,4,5,0.044020
Rosenbrock,4,6,0.077614
Rosenbrock,4,7,1.668419
Rosenbrock,4,8,0.085737
Rosenbrock,4,9,1.368896
Rosenbrock,4,10,0.740595
Rosenbrock,4,11,1.169258
Rosenbrock,4,12,0.281824
Rosenbrock,4,13,0.028680
Rosenbrock,4,14,0.018196
Rosenbrock,4,15,0.014219
Rosenbrock,4,16,1.000534
Rosenbrock,4,17,0.855538
Rosenbrock,4,18,0.078279
Rosenbrock,4,19,0.076904
Rosenbrock,4,20,0.040068
Rosenbrock,4,21,2.533496
Rosenbrock,4,22,0.601961
Rosenbrock,4,23,0.355888
Rosenbrock,4,24,0.086648
Rosenbrock,4,25,0.078259
Rosenbrock,4,26,0.048307
Rosenbrock,4,27,0.067407
Rosenbrock,4,28,0.000785
Rosenbrock,4,29,0.022120
